points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
100,13:22,15:29,13:27,15:00,13:31,15:00,13:42,15:18,13:58,15:30,14:05,15:49,14:30,15:58,15:09,16:29,15:28,17:18,15:28,17:18
99,13:42,15:55,13:50,15:30,13:58,15:30,14:06,15:46,14:20,15:56,14:29,16:12,14:54,16:14,15:34,17:01,15:55,17:47,15:55,17:47
98,14:00,16:16,14:08,15:51,14:15,15:53,14:25,16:07,14:37,16:18,14:48,16:35,15:14,16:36,15:55,17:22,16:22,17:56,16:22,17:56
97,14:15,16:34,14:25,16:09,14:31,16:10,14:40,16:28,14:53,16:36,15:04,16:50,15:32,16:56,16:14,17:38,16:44,18:00,16:44,18:00
96,14:28,16:48,14:38,16:26,14:45,16:26,14:54,16:43,15:06,16:51,15:20,17:07,15:48,17:15,16:28,17:50,16:58,18:25,16:58,18:25
95,14:40,17:01,14:50,16:39,14:57,16:40,15:06,16:57,15:19,17:04,15:33,17:24,16:02,17:28,16:42,18:00,17:14,18:31,17:14,18:31
94,14:51,17:14,15:01,16:52,15:07,16:54,15:18,17:08,15:30,17:18,15:45,17:35,16:15,17:39,16:55,18:13,17:27,18:36,17:27,18:36
93,15:00,17:27,15:13,17:04,15:19,17:05,15:30,17:20,15:41,17:30,15:56,17:47,16:27,17:53,17:06,18:20,17:45,18:46,17:45,18:46
92,15:11,17:37,15:23,17:16,15:30,17:17,15:39,17:30,15:51,17:41,16:06,17:56,16:36,18:00,17:16,18:30,17:57,18:48,17:57,18:48
91,15:20,17:47,15:32,17:28,15:39,17:27,15:49,17:41,16:00,17:52,16:18,18:06,16:46,18:12,17:26,18:40,18:07,18:56,18:07,18:56
90,15:30,17:56,15:43,17:37,15:48,17:35,15:58,17:50,16:10,18:00,16:28,18:16,16:57,18:24,17:36,18:53,18:17,18:59,18:17,18:59
89,15:39,18:04,15:53,17:47,15:58,17:46,16:07,18:00,16:20,18:10,16:38,18:26,17:07,18:34,17:48,19:02,18:25,19:04,18:25,19:04
88,15:48,18:13,16:01,17:57,16:05,17:55,16:16,18:09,16:30,18:20,16:47,18:35,17:16,18:44,17:57,19:14,18:36,19:14,18:36,19:14
87,15:57,18:22,16:10,18:04,16:15,18:02,16:25,18:18,16:38,18:30,16:55,18:44,17:26,18:55,18:04,19:29,18:45,19:29,18:45,19:29
86,16:05,18:30,16:20,18:13,16:24,18:12,16:32,18:27,16:46,18:36,17:04,18:53,17:34,19:04,18:15,19:36,18:53,19:41,18:53,19:41
85,16:14,18:39,16:29,18:23,16:32,18:21,16:41,18:36,16:55,18:45,17:12,19:01,17:43,19:13,18:24,19:45,19:00,19:45,19:00,19:45
84,16:22,18:46,16:37,18:30,16:41,18:30,16:49,18:45,17:03,18:52,17:21,19:10,17:51,19:22,18:32,19:58,19:07,19:58,19:07,19:58
83,16:30,18:54,16:46,18:39,16:49,18:37,16:58,18:52,17:13,19:00,17:30,19:19,18:00,19:30,18:40,20:02,19:17,20:02,19:17,20:02
