points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
100,340,210,340,230,340,230,340,230,340,210,340,210,330,190,290,190,250,170,230,170
99,330,,330,220,330,220,330,220,330,200,330,200,320,180,280,180,240,160,220,160
98,,200,,210,,210,,210,,,,190,310,,270,170,230,,210,
97,,190,,,,,,,,190,320,,300,170,260,160,220,,,
96,320,,,200,,,,200,,,310,180,290,,250,,210,,,
95,310,,,,,200,,190,320,180,300,170,280,,240,,,,200,
94,,180,,190,,190,,,310,,290,,270,,230,,200,,190,
93,300,,,,,,320,180,300,170,280,,260,,220,,190,,180,
92,,,320,,,,,,290,,270,,250,,,,,,170,
91,290,170,,180,320,180,310,170,280,,260,,240,,,,180,,,
90,280,,310,,310,,300,,270,160,,160,230,160,210,150,,150,,150
89,,,290,170,300,170,290,,,,250,,220,,,,170,,,
88,,,280,,290,,280,160,260,,,,,,200,,,,,
87,270,160,,160,280,,270,,,,240,,210,,,,,,,
86,,,270,,,160,,,250,,,,,,190,,,,,
85,,,,,270,,260,,,,230,,200,,180,,,,,
84,260,,260,,260,,,,240,,220,,,,170,,,,,
83,250,,,,,,250,,,,,,190,,,,,,,
82,240,,,,,,,,230,,,,,,,,,,160,
81,,,250,,250,,240,,220,,210,,180,,,,,,,
80,,,,,,,,,,,,,170,,,140,,140,,140
79,230,,240,,240,150,230,150,,150,200,150,,150,160,,160,,,
78,,150,,150,,,,,210,,,,160,,,,,,,
77,220,,230,,230,,220,,,,190,,,,,,,,,
76,,,,,,,,,200,,180,,,,,,,,,
75,,,220,,220,,210,,,,170,,,,,,,,,
74,210,,,,,,,,190,,,,,,,,,,,
73,,,210,,210,,200,,,,160,,,140,,,,,,
72,200,,,,,,,,180,,,140,,,,,,,150,130
71,,140,200,140,200,140,190,140,170,140,,,,,,,150,130,,
70,,,190,,190,,180,,160,,,,150,,150,130,,,,
69,190,,180,,180,,170,,,,150,,,,,,,,,
68,180,,,,170,,160,,150,,,,,,,,,,,
67,170,,170,,,,,,,,,,,130,,,,,,
66,,,,,,,150,,,,,,,,,,,,,
65,,,160,,160,,,,,130,,130,,,,,,,,
64,160,130,,130,,130,,130,,,,,,,,,,,,
63,,,,,150,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
61,150,,150,,,,,,,,,,,,,,,,,
60,140,120,140,120,140,120,140,120,140,120,140,120,140,120,140,120,140,120,140,120
50,130,110,130,110,130,110,130,110,130,110,130,110,130,110,130,110,130,110,130,110
40,120,100,120,100,120,100,120,100,120,100,120,100,120,100,120,100,120,100,120,100
30,110,90,110,90,110,90,110,90,110,90,110,90,110,90,110,90,110,90,110,90
20,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80,100,80
10,90,70,90,70,90,70,90,70,90,70,90,70,90,70,90,70,90,70,90,70
0,80,60,80,60,80,60,80,60,80,60,80,60,80,60,80,60,80,60,80,60
