points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
100,00:01:29,00:01:55,00:01:30,00:01:55,00:01:30,00:01:55,00:01:33,00:01:59,00:01:36,00:02:02,00:01:40,00:02:09,00:01:45,00:02:11,00:01:52,00:02:18,00:01:58,00:02:26,00:02:09,00:02:26
99,00:01:31,00:01:59,00:01:32,00:01:56,00:01:31,00:01:57,00:01:34,00:02:01,00:01:37,00:02:04,00:01:42,00:02:10,00:01:46,00:02:13,00:01:55,00:02:21,00:02:02,00:02:28,00:02:12,00:02:28
98,00:01:34,00:02:02,00:01:33,00:02:00,00:01:34,00:02:01,00:01:37,00:02:05,00:01:40,00:02:10,00:01:44,00:02:15,00:01:50,00:02:22,00:01:57,00:02:28,00:02:03,00:02:34,,00:02:34
97,00:01:35,00:02:05,00:01:34,00:02:02,00:01:35,00:02:04,00:01:38,00:02:08,00:01:42,00:02:11,00:01:46,00:02:17,00:01:52,00:02:24,00:02:00,00:02:30,00:02:06,00:02:39,00:02:13,00:02:39
96,00:01:36,00:02:06,00:01:36,00:02:05,00:01:37,00:02:06,00:01:40,00:02:10,00:01:43,00:02:14,00:01:48,00:02:18,00:01:54,00:02:26,00:02:01,00:02:32,00:02:08,00:02:41,,00:02:41
95,00:01:37,00:02:08,00:01:37,00:02:06,00:01:38,00:02:08,00:01:41,00:02:11,00:01:45,00:02:15,00:01:49,00:02:20,00:01:55,00:02:28,00:02:03,00:02:35,00:02:09,00:02:44,00:02:14,00:02:44
94,00:01:39,00:02:10,00:01:39,00:02:09,00:01:40,00:02:10,00:01:43,00:02:14,00:01:47,00:02:18,00:01:51,00:02:23,00:01:57,00:02:30,00:02:05,00:02:38,00:02:11,00:02:45,00:02:15,00:02:45
93,00:01:40,00:02:12,00:01:40,00:02:10,00:01:41,00:02:12,00:01:44,00:02:15,00:01:48,00:02:20,00:01:52,00:02:25,00:01:59,00:02:31,00:02:06,00:02:40,00:02:13,00:02:46,00:02:16,00:02:46
92,00:01:41,00:02:13,00:01:41,00:02:12,00:01:42,00:02:13,00:01:45,00:02:17,00:01:49,00:02:21,00:01:53,00:02:27,00:02:00,00:02:33,00:02:07,00:02:41,00:02:15,00:02:48,,00:02:48
91,00:01:42,00:02:14,00:01:42,00:02:13,00:01:43,00:02:15,00:01:46,00:02:18,00:01:50,00:02:23,00:01:54,00:02:28,00:02:01,00:02:35,00:02:09,00:02:42,00:02:16,00:02:52,,00:02:52
