points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
100,00:03:40,00:03:40,00:03:35,00:03:35,00:03:30,00:03:30,00:03:25,00:03:25,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20,00:03:20
99,00:03:37,00:03:37,00:03:32,00:03:32,00:03:27,00:03:27,00:03:22,00:03:22,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17,00:03:17
98,00:03:34,00:03:34,00:03:29,00:03:29,00:03:24,00:03:24,00:03:19,00:03:19,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14,00:03:14
97,00:03:30,00:03:30,00:03:25,00:03:25,00:03:20,00:03:20,00:03:15,00:03:15,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10,00:03:10
96,00:03:27,00:03:27,00:03:22,00:03:22,00:03:17,00:03:17,00:03:12,00:03:12,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07,00:03:07
95,00:03:24,00:03:24,00:03:19,00:03:19,00:03:14,00:03:14,00:03:09,00:03:09,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04,00:03:04
94,00:03:21,00:03:21,00:03:16,00:03:16,00:03:11,00:03:11,00:03:06,00:03:06,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01,00:03:01
93,00:03:17,00:03:17,00:03:12,00:03:12,00:03:07,00:03:07,00:03:02,00:03:02,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57,00:02:57
92,00:03:14,00:03:14,00:03:09,00:03:09,00:03:04,00:03:04,00:02:59,00:02:59,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54,00:02:54
91,00:03:11,00:03:11,00:03:06,00:03:06,00:03:01,00:03:01,00:02:56,00:02:56,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51,00:02:51
